|       ah        |       al        |       sh        |       sl        |
| 000000000000000 | 000000000000000 | 000000000000000 | 000000000000000 |
| 000000000000000 | 111111111111111 | 111111111111111 | 000000000000001 |
| 111111111111111 | 000000000000000 | 000000000000001 | 000000000000000 |
| 000000000000001 | 111111111111111 | 111111111111110 | 000000000000001 |
| 111111111111110 | 000000000000000 | 000000000000010 | 000000000000000 |
| 111111111111111 | 111111111111111 | 000000000000000 | 000000000000001 |
| 010101010101010 | 101010101010101 | 101010101010101 | 010101010101011 |
| 101010101010101 | 010101010101010 | 010101010101010 | 101010101010110 |
| 110111011101110 | 101011011011010 | 001000100010001 | 010100100100110 |
| 101011011011010 | 110111011101110 | 010100100100101 | 001000100010010 |
